DateTime ,jck_mm ,jck_mx ,jck_mn ,jck_sp ,jck_pp,Notes
2022-07-31,66.73,85.4,47.9,-0.47,0,
2022-08-01,67.06,87.2,45.6,-0.49,0,
2022-08-02,61.75,74.2,51.8,-0.3,0.23,
2022-08-03,59.39,78.7,46.8,-0.32,0,
2022-08-04,61.97,79.4,44.4,-0.3,0,
2022-08-05,55.16,60.1,49.1,-0.43,0.38,
2022-08-06,54.38,62.3,46.8,-0.47,1.33,
2022-08-07,55.82,73.3,45.2,-0.47,0.12,
2022-08-08,59.22,80.1,43.1,-0.42,0,
2022-08-09,61.44,85.5,41.8,-0.49,0,
2022-08-10,63.76,84.9,45.7,-0.58,0,
2022-08-11,65.57,79.6,55.1,-0.55,0.01,
2022-08-12,62.71,83.6,51.6,-0.39,0.05,
2022-08-13,59.51,78.5,48.9,-0.46,0.35,
2022-08-14,58.35,76,47.4,-0.47,0,
2022-08-15,60.93,81.1,44.7,-0.45,0,
2022-08-16,62.67,83.4,44.9,-0.57,0,
2022-08-17,63.93,85.1,45.2,-0.56,0,
2022-08-18,62.76,84.3,43.8,-0.56,0,
2022-08-19,61.57,80.1,46.5,-0.4,0,
2022-08-20,61.84,80,47.9,-0.38,0,
2022-08-21,60.8,79.4,46.5,-0.5,0.18,
2022-08-22,58.83,78.1,49,-0.44,0.04,
2022-08-23,59.83,77.9,45.1,-0.38,0,
2022-08-24,59.64,81.3,43.8,-0.41,0,
2022-08-25,58.34,75,48.7,-0.44,0.3,
2022-08-26,57.44,75,44.3,-0.33,0.04,
2022-08-27,59.03,74.4,41.5,-0.38,0,
2022-08-28,59.39,70.9,43.9,-0.35,0,
2022-08-29,57.15,79.3,38.4,-0.42,0,
2022-08-30,59.35,82.4,39.9,-0.38,0,
2022-08-31,60.98,84.6,40.9,-0.5,0,
2022-09-01,63.6,83.5,45,-0.48,0,
2022-09-02,60.95,86.9,39.6,-0.48,0,
2022-09-03,63.06,88.2,41.5,-0.47,0,
2022-09-04,63.57,85.5,41.9,-0.47,0,
2022-09-05,61.14,85,41.2,-0.47,0,
2022-09-06,61.29,87.2,39.5,-0.46,0,
2022-09-07,62.23,84.4,42.4,-0.47,0,
2022-09-08,60.66,75.1,48.5,-0.45,0.06,
2022-09-09,50.85,62.8,36.7,-0.33,0,
2022-09-10,47.31,69.9,29.6,-0.35,0,
2022-09-11,51.46,77,30.6,-0.39,0,
2022-09-12,53.1,80.4,31.9,-0.29,0,
2022-09-13,53.07,71.3,34.4,-0.29,0,
2022-09-14,52.53,62.7,46.8,-0.25,0.13,
2022-09-15,47.68,63.5,36.6,-0.33,0.02,
2022-09-16,44.99,54.2,37.7,-0.4,0.29,
2022-09-17,45.57,60.8,36.7,-0.39,0.07,
2022-09-18,50,69.1,35.6,-0.33,0.01,
2022-09-19,53.93,72,35.6,-0.35,0,
2022-09-20,50.93,73.1,33.4,-0.28,0,
2022-09-21,51.46,70.5,38.9,-0.37,0.36,
2022-09-22,47.2,52.5,40.6,-0.41,0.31,
2022-09-23,47.96,61.1,35.5,-0.38,0.01,
2022-09-24,46.26,65.9,30.8,-0.35,0,
2022-09-25,48.55,71.9,32.5,-0.31,0,
2022-09-26,51.12,76.9,33.5,-0.26,0,
2022-09-27,51.26,75.4,34.4,-0.26,0,
2022-09-28,50.78,72.5,32.1,-0.31,0,
2022-09-29,50.12,65.1,42.3,-0.38,0.19,
2022-09-30,46.26,57.2,35.7,-0.36,0.13,
2022-10-01,40.98,51.2,35.1,-0.42,0.21,
2022-10-02,41.1,51.7,33.7,-0.4,0,
2022-10-03,45.11,59.7,34.4,-0.42,0,
2022-10-04,43.56,62.9,29.1,-0.41,0,
2022-10-05,44.85,67.6,29.5,-0.38,0,
2022-10-06,45.64,67.5,29.3,-0.37,0,
2022-10-07,46.07,66.5,30.8,-0.38,0,
2022-10-08,43.86,65.6,28.6,-0.39,0,
2022-10-09,43.77,67,27.9,-0.39,0,
2022-10-10,44.35,64.5,27,-0.37,0,
2022-10-11,44.08,56.6,30.1,-0.36,0,
2022-10-12,45.42,60.2,30,-0.37,0,
2022-10-13,44.37,63.2,29.5,-0.37,0,
2022-10-14,40.89,64.4,26.2,-0.37,0,
2022-10-15,42.65,57.9,28.8,-0.36,0,
2022-10-16,40.97,65.2,25.6,-0.34,0,
2022-10-17,42.01,66.8,25.6,-0.3,0,
2022-10-18,42.59,68.4,26.1,-0.32,0,
2022-10-19,42.03,67.8,25.5,-0.3,0,
2022-10-20,40.31,62.5,23.9,-0.33,0,
2022-10-21,44.26,58,28.1,-0.31,0.02,
2022-10-22,38.11,43.1,30.1,-0.3,0.26,
2022-10-23,29.51,33.7,26.7,-0.35,0.04,
2022-10-24,28.78,35.4,23.2,-0.16,0.01,
2022-10-25,30.79,38.1,23.4,-0.26,0.15,
2022-10-26,23.42,29.4,17.3,0.09,0.22,
2022-10-27,24.94,33.4,16.7,0.1,0,
2022-10-28,20.92,36.7,8.3,0.17,0,
2022-10-29,26.69,43.9,15,0.19,0,
2022-10-30,27.83,43.6,16.4,0.13,0,
2022-10-31,34.23,50.4,26.4,0.07,0,
2022-11-01,35.61,52.6,25.2,0.19,0,
2022-11-02,32.94,43.9,21.5,0.19,0.1,
2022-11-03,23.35,33,18,0.31,0,
2022-11-04,22.94,26.9,18.1,0.4,0.11,
2022-11-05,30.01,37,17.7,0.9,0.51,
2022-11-06,23.42,34.5,7.4,0.9,0,
2022-11-07,28.84,33.2,23,1.33,0.47,
2022-11-08,29.64,33.3,26.6,1.68,0.35,
2022-11-09,28.96,33.5,23.5,2.13,0.53,
2022-11-10,19.19,23.6,16.6,2.23,0.07,
2022-11-11,16.18,21.3,9,2.24,0.07,
2022-11-12,10.84,20.7,2.1,2.05,0,
2022-11-13,14.45,27.9,4.4,2.29,0,
2022-11-14,13.81,24.3,2.1,2.12,0.01,
2022-11-15,17.13,28.3,6.1,2.15,0,
2022-11-16,19.81,30.8,12.5,2.25,0,
2022-11-17,13.44,21.4,-3.3,1.95,0,
2022-11-18,0.71,16.7,-10.2,1.91,0,
2022-11-19,3.07,21.5,-6.7,1.98,0,
2022-11-20,7.06,25.6,-2.4,2.05,0,
2022-11-21,10.1,25.6,2.5,2.15,0,
2022-11-22,13.41,29.1,5,2.22,0,
2022-11-23,24.57,29.1,15.6,2.35,0.13,
2022-11-24,16.83,32.7,5.6,2.22,0,
2022-11-25,16.38,31.7,6.9,2.42,0,
2022-11-26,20.55,29.2,10.8,2.59,0.06,
2022-11-27,21.56,27.3,12.6,2.78,0.34,
2022-11-28,15.76,24.7,5.2,3.07,0.29,
2022-11-29,6.06,14.5,-5.9,3.14,0.05,
2022-11-30,15.91,23.3,7.5,3.46,0.33,
2022-12-01,25.63,29.4,21.1,4.01,0.4,
2022-12-02,14.26,26.3,-3.3,4.1,0.22,
2022-12-03,-0.78,15.3,-11.6,4.08,0.01,
2022-12-04,5.48,16,-7.3,4.45,0.23,
2022-12-05,22.93,26.8,16.4,4.54,0.12,
2022-12-06,22.42,26.7,19.8,4.54,0.05,
2022-12-07,12.03,24.6,-2,4.55,0,
2022-12-08,1.52,16.1,-6.6,4.37,0,
2022-12-09,5.28,19.9,-8.3,4.62,0.12,
2022-12-10,13.12,23.6,0.9,4.57,0,
2022-12-11,22.63,30,14.9,4.68,0.05,
2022-12-12,23.89,30.2,18.3,4.66,0,
2022-12-13,21.43,27.2,16.4,4.69,0,
2022-12-14,15.37,22.4,7,4.77,0,
2022-12-15,14.12,18.3,9.4,4.71,0,
2022-12-16,5.23,15.5,-5.3,4.8,0.05,
2022-12-17,6.61,16.1,-4.6,4.66,0.09,
2022-12-18,2.59,18.2,-8.2,4.7,0,
2022-12-19,20.62,24.9,17.7,4.88,0,
2022-12-20,22.88,26.4,19.9,4.99,0.25,
2022-12-21,14.83,26.4,-7.1,5.25,0.27,
2022-12-22,-14.07,0.2,-23.7,4.79,0,
2022-12-23,0.49,10.2,-13,5.39,0.1,
2022-12-24,17.04,28.2,10.3,5.54,0.07,
2022-12-25,25.94,34.4,17.5,5.41,0,
2022-12-26,29.91,37.6,19.9,5.63,0,
2022-12-27,33.51,38.8,28,5.99,0.46,
2022-12-28,24.34,30.4,20.1,6.25,0.09,
2022-12-29,16.04,23.2,3.2,5.99,0.02,
2022-12-30,17.16,25.8,5,6.43,0.17,
2022-12-31,25.16,32.6,19.8,6.85,0.43,
2023-01-01,21.82,26.6,16.2,6.94,0.04,
2023-01-02,15.68,27.4,3.3,6.9,0,
2023-01-03,14.13,20.9,4.2,6.86,0.04,
2023-01-04,14.14,24.5,-1.1,7.01,0.1,
2023-01-05,14.58,22.6,0,6.99,0.04,
2023-01-06,23.33,29.6,15.9,7.16,0.03,
2023-01-07,22.36,33.2,7.2,7.03,0.01,
2023-01-08,12.32,27.8,-3.2,7.21,0.05,
2023-01-09,21.5,28.2,8.3,7.36,0.23,
2023-01-10,26.02,30.5,20.3,7.67,0.11,
2023-01-11,26.96,32.9,23.1,7.79,0.18,
2023-01-12,16.87,26.7,1.3,7.77,0,
2023-01-13,23.25,27.8,17.3,7.88,0,
2023-01-14,29.4,35.8,18.1,8.01,0.09,
2023-01-15,27.46,31.7,25.3,8.18,0.16,
2023-01-16,19.77,31.1,5,8,0,
2023-01-17,12.07,26.3,1.3,7.99,0.01,
2023-01-18,3.95,19.5,-10.3,8.13,0,
2023-01-19,8.91,19.9,-0.6,8.15,0,
2023-01-20,5.88,21.4,-7.9,8.14,0,
2023-01-21,3.07,17.7,-6.7,8.02,0,
2023-01-22,8.41,19.9,-2.1,7.87,0,
2023-01-23,9.25,21.2,-4.1,7.74,0.01,
2023-01-24,4.34,15.3,-8.6,7.64,0.02,
2023-01-25,6.94,18.9,-4.9,7.56,0,
2023-01-26,13.93,19.5,7.3,7.9,0.18,
2023-01-27,21.69,26.4,16.5,8.28,0.45,
2023-01-28,18.56,25.9,3.3,8.56,0.23,
2023-01-29,-1.77,4.6,-16,8.4,0.03,
2023-01-30,-17.85,0.6,-31.6,8.44,0.01,
2023-01-31,-10.86,4.3,-29.4,8.71,0,
2023-02-01,8.57,20.1,-0.1,8.68,0.02,
2023-02-02,2.43,22.4,-13.5,8.61,0,
2023-02-03,3.35,22.1,-12.3,8.77,0,
2023-02-04,17.82,34.5,7,8.77,0.01,
2023-02-05,16.08,28.6,0.6,8.87,0.13,
2023-02-06,24.75,31.8,21.3,8.79,0.04,
2023-02-07,21.73,31.2,14.9,9,0,
2023-02-08,19.36,25.5,7.4,9.16,0.2,
2023-02-09,3.5,20.6,-11.3,9.16,0,
2023-02-10,2.33,26.3,-12.2,9.26,0,
2023-02-11,7.43,31.3,-9.2,9.42,0,
2023-02-12,8.7,31.4,-11.5,9.32,0,
2023-02-13,11.38,31.5,-10.7,9.51,0,
2023-02-14,16.57,24.3,7.4,9.13,0.04,
2023-02-15,7.2,23.8,-9.1,8.92,0,
2023-02-16,0.1,21.5,-15.7,8.85,0,
2023-02-17,2.76,25.6,-16.2,8.92,0,
2023-02-18,7.76,26.5,-13.1,9.04,0.07,
2023-02-19,18.34,26.1,5.7,9.08,0.07,
2023-02-20,29.19,34.1,23.8,9.49,0.24,
2023-02-21,26.83,30.5,20.1,10.33,0.88,
2023-02-22,6.69,20.4,-0.3,10.12,0.06,
2023-02-23,4.6,13.9,-1.5,10.24,0.1,
2023-02-24,9.83,20.8,-4.3,10.47,0.04,
2023-02-25,25.38,36.7,14.3,10.82,0.01,
2023-02-26,22.2,33.7,10,11.03,0.12,
2023-02-27,20.54,25.1,8.8,11.53,0.24,
2023-02-28,15.74,22.6,9,11.8,0.24,
2023-03-01,16.02,27.8,3.7,11.96,0.07,
2023-03-02,10.88,26,-5.7,12.05,0.04,
2023-03-03,16.82,22.2,11.7,12.25,0.16,
2023-03-04,9.23,18.8,-8.6,12.49,0.15,
2023-03-05,16.66,27.3,7.6,12.46,0.02,
2023-03-06,14.2,25.7,-1.4,12.5,0.06,
2023-03-07,6.4,25.3,-8.7,12.46,0,
2023-03-08,4.91,20.8,-13.7,12.65,0.04,
2023-03-09,18.12,26.6,10.1,12.83,0.03,
2023-03-10,23.43,33.5,17.7,13.32,0.42,
2023-03-11,20.24,31.5,7.1,13.48,0.03,
2023-03-12,10.19,32.2,-10.4,13.29,0,
2023-03-13,23.24,37.8,7.2,13.61,0.12,
2023-03-14,34.75,41.3,31.2,13.86,0.23,
2023-03-15,30.83,36.5,18.6,14.02,0.13,
2023-03-16,16.63,29.1,2,14.18,0,
2023-03-17,12.16,34.5,-7.1,14.04,0,
2023-03-18,11.76,34.8,-9.7,13.97,0,
2023-03-19,15.39,39.1,-6.2,13.94,0,
2023-03-20,24.59,36.6,14.4,13.7,0.09,
2023-03-21,23.25,34.5,12.7,13.98,0.04,
2023-03-22,19.84,31.4,6,14.24,0.23,
2023-03-23,26.66,34.2,21.1,14.52,0.06,
2023-03-24,20.95,27.8,15.4,14.64,0.16,
2023-03-25,17.55,21.7,14.6,14.73,0.11,
2023-03-26,16.39,22.7,11.8,14.72,0.03,
